Index,Workload,Dataset,DatasetSize,BuildTime_ms,Memory_MB,BytesPerKey,MeanLookup_ns,P95Lookup_ns,P99Lookup_ns,InsertThroughput_ops
PGM-Index,Read-Heavy (95R/5W),Zipfian,8193,0.371314,0.125034,16.0024,63.9331,80,90,2855560.0
RMI,Read-Heavy (95R/5W),Zipfian,8193,1.01958,0.126556,16.1972,53.6757,71,81,2944150.0
HALI,Read-Heavy (95R/5W),Zipfian,8193,0.478298,0.125046,16.0039,134.636,220,271,3784950.0
BTree,Write-Heavy (10R/90W),Zipfian,8193,0.26942,0.150041,19.2029,19.7144,20,21,21371600.0
HashTable,Write-Heavy (10R/90W),Zipfian,8193,0.241754,0.320374,41.0029,38.9167,50,100,21811000.0
ART,Write-Heavy (10R/90W),Zipfian,8193,0.39411,0.156315,20.0059,83.3084,161,271,15729300.0
PGM-Index,Write-Heavy (10R/90W),Zipfian,8193,0.339099,0.125034,16.0024,193.096,411,722,182826.0
RMI,Write-Heavy (10R/90W),Zipfian,8193,1.09769,0.126556,16.1972,203.584,441,812,173176.0
HALI,Write-Heavy (10R/90W),Zipfian,8193,0.519821,0.125046,16.0039,138.221,211,311,5563050.0
BTree,Mixed (50R/50W),Zipfian,8193,0.96786,0.150041,19.2029,21.6029,21,40,10117700.0
HashTable,Mixed (50R/50W),Zipfian,8193,0.190602,0.320374,41.0029,33.6176,50,180,17051900.0
ART,Mixed (50R/50W),Zipfian,8193,0.418168,0.156315,20.0059,55.4278,70,81,12763200.0
PGM-Index,Mixed (50R/50W),Zipfian,8193,0.979152,0.125034,16.0024,83.5291,121,230,333848.0
RMI,Mixed (50R/50W),Zipfian,8193,1.06163,0.126556,16.1972,67.1507,90,211,340895.0
HALI,Mixed (50R/50W),Zipfian,8193,0.493309,0.125046,16.0039,124.804,171,270,5001970.0
